WigleWifi-1.4,appRelease=1.0,brand=Bruce
MAC,SSID,AuthMode,FirstSeen,LastSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
0E:AA:11:22:33:47,COPA_MEDIA_NODE,[WPA3-SAE-CCMP][ESS],2026-04-11T02:04:54Z,2026-04-11T02:05:00Z,157,5785,-66,-22.969824,-43.182837,7.0,5.3,WIFI
AA:98:8F:38:CF:C5,IPANEMA_LINK_0038,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,1,2412,-87,-22.969824,-43.182837,7.0,4.0,WIFI
9E:65:44:C0:D2:1B,ARPOADOR_KIOSK_0002,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,1,2412,-78,-22.969824,-43.182837,7.0,4.0,WIFI
3E:C7:01:5D:AF:FA,LAGOA_VIEW_0039,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,10,2457,-76,-22.969824,-43.182837,7.0,4.0,WIFI
5A:7E:03:B4:D8:1D,IPANEMA_TERRACE_0003,[WPA3-SAE-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,1,2412,-61,-22.969824,-43.182837,7.0,4.0,WIFI
52:61:66:FB:86:4D,LAGOA_PASS_0034,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,1,2412,-94,-22.969824,-43.182837,7.0,4.0,WIFI
D6:38:41:DF:43:CD,LAGOA_PASS_0004,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,11,2462,-77,-22.969824,-43.182837,7.0,4.0,WIFI
4E:1E:8C:62:D6:A5,ORLA_STUDIO_0015,[WPA3-SAE-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,5,2432,-59,-22.969824,-43.182837,7.0,4.0,WIFI
FE:A3:A4:08:E1:4C,ARPOADOR_KIOSK_0022,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,1,2412,-76,-22.969824,-43.182837,7.0,4.0,WIFI
36:D0:FB:D7:48:28,IPANEMA_TERRACE_0023,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,6,2437,-87,-22.969824,-43.182837,7.0,4.0,WIFI
AA:23:76:FF:00:80,IPANEMA_TERRACE_0033,[WPA3-SAE-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,7,2442,-81,-22.969824,-43.182837,7.0,4.0,WIFI
72:E1:57:C3:A6:72,COPA_HUB_0036,[WPA3-SAE-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,1,2412,-74,-22.969824,-43.182837,7.0,4.0,WIFI
66:E8:AD:27:C5:B6,ARPOADOR_KIOSK_0032,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,7,2442,-86,-22.969824,-43.182837,7.0,4.0,WIFI
EE:F7:3D:4C:3B:34,ARPOADOR_LOUNGE_0027,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,11,2462,-73,-22.969824,-43.182837,7.0,4.0,WIFI
36:73:63:E5:7A:36,ARPOADOR_LOUNGE_0037,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,9,2452,-66,-22.969824,-43.182837,7.0,4.0,WIFI
7A:11:52:D2:05:89,ARPOADOR_LOUNGE_0007,[WPA3-SAE-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,1,2412,-68,-22.969824,-43.182837,7.0,4.0,WIFI
FE:77:B3:01:35:62,IPANEMA_LINK_0028,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,1,2412,-66,-22.969824,-43.182837,7.0,4.0,WIFI
86:5D:73:C3:7D:EB,LAGOA_PASS_0024,[OPEN],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,4,2427,-63,-22.969824,-43.182837,7.0,4.0,WIFI
56:75:65:E2:87:84,ORLA_STUDIO_0035,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,11,2462,-80,-22.969824,-43.182837,7.0,4.0,WIFI
36:52:92:CA:E0:62,LAGOA_VIEW_0029,[OPEN],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,7,2442,-75,-22.969824,-43.182837,7.0,4.0,WIFI
6A:66:A8:C4:D4:77,ORLA_MESH_0010,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,1,2412,-67,-22.969824,-43.182837,7.0,4.0,WIFI
02:DA:A7:7E:A5:C3,IPANEMA_LINK_0018,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,11,2462,-85,-22.969824,-43.182837,7.0,4.0,WIFI
52:4D:CE:75:02:80,ORLA_MESH_0020,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,6,2437,-82,-22.969824,-43.182837,7.0,4.0,WIFI
26:DB:55:BB:B1:70,IPANEMA_LINK_0008,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,6,2437,-79,-22.969824,-43.182837,7.0,4.0,WIFI
86:7E:04:40:38:CB,ORLA_STUDIO_0025,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,11,2462,-77,-22.969824,-43.182837,7.0,4.0,WIFI
1A:8B:3A:16:A8:21,ORLA_STUDIO_0005,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,7,2442,-84,-22.969824,-43.182837,7.0,4.0,WIFI
16:D5:91:9E:EB:BB,ARPOADOR_KIOSK_0012,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,11,2462,-68,-22.969824,-43.182837,7.0,4.0,WIFI
6E:A8:71:43:E8:22,ORLA_MESH_0030,[WPA3-SAE-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,4,2427,-83,-22.969824,-43.182837,7.0,4.0,WIFI
76:5B:3A:F9:F9:C1,COPA_GUEST_0011,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,1,2412,-66,-22.969824,-43.182837,7.0,4.0,WIFI
FA:8C:73:DF:84:94,COPA_HUB_0026,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,5,2432,-81,-22.969824,-43.182837,7.0,4.0,WIFI
52:87:4D:81:C4:64,COPA_HUB_0016,[OPEN],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,9,2452,-85,-22.969824,-43.182837,7.0,4.0,WIFI
AA:18:77:09:44:2E,COPA_HUB_0006,[WPA2-PSK-CCMP][ESS],2026-04-11T02:04:55Z,2026-04-11T02:05:00Z,1,2412,-71,-22.969824,-43.182837,7.0,4.0,WIFI
