WigleWifi-1.4,appRelease=1.0,brand=Bruce
MAC,SSID,AuthMode,FirstSeen,LastSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
D6:4E:05:C0:AD:F7,ATERRO_HUB_0006,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,4,2427,-76,-22.9249,-43.17045,6.5,4.0,WIFI
9E:0B:8C:6A:32:75,FLAMENGO_VIEW_0009,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,10,2457,-63,-22.9249,-43.17045,6.5,4.0,WIFI
6A:B4:55:38:C6:34,ORLA_STUDIO_0005,[WPA3-SAE-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,9,2452,-86,-22.9249,-43.17045,6.5,4.0,WIFI
6A:8A:01:35:AA:7B,PROMENADE_KIOSK_0002,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,2,2417,-59,-22.9249,-43.17045,6.5,4.0,WIFI
8A:63:E5:B2:A1:27,MARINA_LINK_0008,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,1,2412,-85,-22.9249,-43.17045,6.5,4.0,WIFI
6E:8F:FE:ED:48:0E,ORLA_MESH_0010,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,10,2457,-63,-22.9249,-43.17045,6.5,4.0,WIFI
E2:5B:16:73:2C:32,ORLA_STUDIO_0015,[WPA3-SAE-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,2,2417,-83,-22.9249,-43.17045,6.5,4.0,WIFI
0A:93:A8:A1:41:94,FLAMENGO_PASS_0014,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,8,2447,-66,-22.9249,-43.17045,6.5,4.0,WIFI
FE:70:33:A7:8B:82,ATERRO_GUEST_0001,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,2,2417,-78,-22.9249,-43.17045,6.5,4.0,WIFI
62:D0:FA:64:C0:83,PROMENADE_KIOSK_0012,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,1,2412,-70,-22.9249,-43.17045,6.5,4.0,WIFI
6A:BF:7F:86:87:35,FLAMENGO_PASS_0004,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,11,2462,-86,-22.9249,-43.17045,6.5,4.0,WIFI
52:C4:5E:A2:44:7D,MARINA_TERRACE_0003,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,1,2412,-70,-22.9249,-43.17045,6.5,4.0,WIFI
A2:00:3D:50:94:29,ATERRO_GUEST_0011,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,2,2417,-84,-22.9249,-43.17045,6.5,4.0,WIFI
C2:60:89:2E:00:54,PROMENADE_LOUNGE_0007,[OPEN],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,6,2437,-70,-22.9249,-43.17045,6.5,4.0,WIFI
DE:3D:54:AB:6D:39,MARINA_TERRACE_0013,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:56Z,2026-04-11T03:00:00Z,4,2427,-63,-22.9249,-43.17045,6.5,4.0,WIFI
6A:B4:55:38:C6:34,ORLA_STUDIO_0005,[WPA3-SAE-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,9,2452,-66,-22.924932,-43.170453,6.8,4.3,WIFI
9E:0B:8C:6A:32:75,FLAMENGO_VIEW_0009,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,10,2457,-49,-22.924932,-43.170453,6.8,4.3,WIFI
8A:63:E5:B2:A1:27,MARINA_LINK_0008,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,1,2412,-68,-22.924932,-43.170453,6.8,4.3,WIFI
6A:8A:01:35:AA:7B,PROMENADE_KIOSK_0002,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,2,2417,-57,-22.924932,-43.170453,6.8,4.3,WIFI
6E:8F:FE:ED:48:0E,ORLA_MESH_0010,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,10,2457,-57,-22.924932,-43.170453,6.8,4.3,WIFI
D6:4E:05:C0:AD:F7,ATERRO_HUB_0006,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,4,2427,-59,-22.924932,-43.170453,6.8,4.3,WIFI
EE:A7:CC:A8:25:23,ATERRO_GUEST_0031,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,2,2417,-62,-22.924932,-43.170453,6.8,4.3,WIFI
E2:5B:16:73:2C:32,ORLA_STUDIO_0015,[WPA3-SAE-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,2,2417,-76,-22.924932,-43.170453,6.8,4.3,WIFI
BA:1C:3D:EA:B6:D4,ATERRO_HUB_0026,[WPA3-SAE-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,6,2437,-68,-22.924932,-43.170453,6.8,4.3,WIFI
16:9B:95:09:98:5D,ORLA_STUDIO_0025,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,4,2427,-67,-22.924932,-43.170453,6.8,4.3,WIFI
C2:72:85:9A:71:58,PROMENADE_KIOSK_0032,[WPA3-SAE-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,2,2417,-73,-22.924932,-43.170453,6.8,4.3,WIFI
62:A8:88:7F:E6:A0,MARINA_TERRACE_0023,[OPEN],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,4,2427,-74,-22.924932,-43.170453,6.8,4.3,WIFI
6E:91:83:E3:2B:BE,FLAMENGO_VIEW_0029,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,6,2437,-85,-22.924932,-43.170453,6.8,4.3,WIFI
AE:B8:5E:D7:06:59,FLAMENGO_VIEW_0019,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,1,2412,-70,-22.924932,-43.170453,6.8,4.3,WIFI
0A:93:A8:A1:41:94,FLAMENGO_PASS_0014,[WPA2-PSK-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,8,2447,-64,-22.924932,-43.170453,6.8,4.3,WIFI
2E:2A:59:14:6F:A9,MARINA_LINK_0018,[WPA3-SAE-CCMP][ESS],2026-04-11T02:59:58Z,2026-04-11T03:00:02Z,2,2417,-86,-22.924932,-43.170453,6.8,4.3,WIFI
