WigleWifi-1.4,appRelease=1.0,brand=Bruce
MAC,SSID,AuthMode,FirstSeen,LastSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
AE:96:79:E8:22:2F,CICLO_PASS_0014,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,4,2427,-67,-22.9659,-43.2142,6.5,4.0,WIFI
1A:9B:3E:5E:B0:D0,LAGOA_GUEST_0021,[WPA3-SAE-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,11,2462,-88,-22.9659,-43.2142,6.5,4.0,WIFI
6A:ED:72:93:F3:74,PARQUE_MESH_0010,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,1,2412,-63,-22.9659,-43.2142,6.5,4.0,WIFI
92:D0:93:51:0B:FA,PARQUE_MESH_0020,[WPA3-SAE-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,6,2437,-86,-22.9659,-43.2142,6.5,4.0,WIFI
52:7A:7C:03:1E:E4,PARQUE_STUDIO_0005,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,3,2422,-73,-22.9659,-43.2142,6.5,4.0,WIFI
4E:F8:EC:69:A4:5A,CICLO_VIEW_0019,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,10,2457,-88,-22.9659,-43.2142,6.5,4.0,WIFI
4E:08:46:71:A1:AD,CICLO_PASS_0004,[WPA3-SAE-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,3,2422,-73,-22.9659,-43.2142,6.5,4.0,WIFI
0A:63:85:A4:7F:FB,JARDIM_LOUNGE_0017,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,6,2437,-81,-22.9659,-43.2142,6.5,4.0,WIFI
32:D5:05:6D:E2:66,LAGOA_GUEST_0011,[OPEN],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,6,2437,-67,-22.9659,-43.2142,6.5,4.0,WIFI
BA:6A:31:66:89:DB,BOTANICO_TERRACE_0023,[WPA3-SAE-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,11,2462,-67,-22.9659,-43.2142,6.5,4.0,WIFI
26:3E:29:D8:3A:ED,CICLO_VIEW_0009,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,11,2462,-91,-22.9659,-43.2142,6.5,4.0,WIFI
62:27:83:C7:F6:42,BOTANICO_TERRACE_0013,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,6,2437,-62,-22.9659,-43.2142,6.5,4.0,WIFI
1A:88:29:9E:A0:94,BOTANICO_LINK_0028,[WPA3-SAE-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,10,2457,-75,-22.9659,-43.2142,6.5,4.0,WIFI
EE:C6:DF:0E:76:E4,PARQUE_STUDIO_0015,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,11,2462,-68,-22.9659,-43.2142,6.5,4.0,WIFI
3E:82:73:D1:BB:B1,JARDIM_KIOSK_0012,[OPEN],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,10,2457,-91,-22.9659,-43.2142,6.5,4.0,WIFI
AE:03:33:36:29:E5,JARDIM_LOUNGE_0027,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,1,2412,-86,-22.9659,-43.2142,6.5,4.0,WIFI
16:EC:D0:84:F1:C9,LAGOA_HUB_0006,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,4,2427,-70,-22.9659,-43.2142,6.5,4.0,WIFI
D2:77:E9:0E:F0:C4,PARQUE_MESH_0030,[WPA3-SAE-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,7,2442,-68,-22.9659,-43.2142,6.5,4.0,WIFI
CE:DA:A6:88:B6:DB,LAGOA_HUB_0016,[WPA3-SAE-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,1,2412,-79,-22.9659,-43.2142,6.5,4.0,WIFI
C2:68:6F:80:01:B4,BOTANICO_LINK_0018,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,6,2437,-68,-22.9659,-43.2142,6.5,4.0,WIFI
8A:EA:B6:E2:78:19,PARQUE_STUDIO_0025,[OPEN],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,6,2437,-68,-22.9659,-43.2142,6.5,4.0,WIFI
1A:D9:1B:17:9F:76,JARDIM_LOUNGE_0007,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,6,2437,-68,-22.9659,-43.2142,6.5,4.0,WIFI
52:53:40:3D:C8:E8,JARDIM_KIOSK_0022,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,6,2437,-71,-22.9659,-43.2142,6.5,4.0,WIFI
7A:80:B4:F5:96:52,LAGOA_HUB_0026,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,1,2412,-69,-22.9659,-43.2142,6.5,4.0,WIFI
82:5E:8A:E3:53:4A,JARDIM_KIOSK_0032,[WPA2-PSK-CCMP][ESS],2026-04-11T03:34:55Z,2026-04-11T03:35:00Z,6,2437,-71,-22.9659,-43.2142,6.5,4.0,WIFI
