WigleWifi-1.4,appRelease=1.0,brand=Bruce
MAC,SSID,AuthMode,FirstSeen,LastSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
A6:18:A2:05:D6:8B,ENSEADA_VIEW_0029,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,6,2437,-60,-22.9526,-43.16645,6.5,4.0,WIFI
42:6C:A4:7B:DA:0F,BAY_MESH_0010,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,11,2462,-71,-22.9526,-43.16645,6.5,4.0,WIFI
32:7D:6D:07:C5:47,ENSEADA_PASS_0024,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-77,-22.9526,-43.16645,6.5,4.0,WIFI
A2:0F:8C:60:B2:80,ENSEADA_PASS_0034,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-74,-22.9526,-43.16645,6.5,4.0,WIFI
C6:89:01:7D:C7:CF,URCA_GUEST_0011,[WPA3-SAE-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,9,2452,-75,-22.9526,-43.16645,6.5,4.0,WIFI
E2:1C:DC:AC:E2:E0,SHORE_LINK_0038,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-96,-22.9526,-43.16645,6.5,4.0,WIFI
0A:A5:CA:2D:87:75,BOTAFOGO_KIOSK_0002,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-89,-22.9526,-43.16645,6.5,4.0,WIFI
DA:90:93:F3:2F:A7,BOTAFOGO_LOUNGE_0037,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,2,2417,-79,-22.9526,-43.16645,6.5,4.0,WIFI
F2:37:AD:A9:5B:D3,SHORE_TERRACE_0013,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,11,2462,-81,-22.9526,-43.16645,6.5,4.0,WIFI
C2:26:2C:EC:78:60,BOTAFOGO_KIOSK_0032,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-85,-22.9526,-43.16645,6.5,4.0,WIFI
DA:C4:7F:FD:EC:C7,ENSEADA_PASS_0014,[WPA3-SAE-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,6,2437,-80,-22.9526,-43.16645,6.5,4.0,WIFI
56:56:69:91:1D:A5,SHORE_TERRACE_0023,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,4,2427,-65,-22.9526,-43.16645,6.5,4.0,WIFI
D2:B5:3F:8D:15:BD,ENSEADA_PASS_0004,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-86,-22.9526,-43.16645,6.5,4.0,WIFI
1A:36:40:CB:F9:8B,URCA_HUB_0016,[WPA3-SAE-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,3,2422,-70,-22.9526,-43.16645,6.5,4.0,WIFI
EE:D2:1B:22:68:02,BAY_MESH_0030,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-79,-22.9526,-43.16645,6.5,4.0,WIFI
C6:F9:DD:7B:59:E0,URCA_HUB_0006,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-70,-22.9526,-43.16645,6.5,4.0,WIFI
0A:CC:01:AA:E1:70,URCA_GUEST_0001,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-80,-22.9526,-43.16645,6.5,4.0,WIFI
9A:80:3E:4E:8B:1C,URCA_GUEST_0021,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,11,2462,-65,-22.9526,-43.16645,6.5,4.0,WIFI
F2:56:08:6D:CB:E7,BAY_STUDIO_0025,[OPEN],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-65,-22.9526,-43.16645,6.5,4.0,WIFI
EE:10:6A:97:52:6D,BOTAFOGO_LOUNGE_0017,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,4,2427,-92,-22.9526,-43.16645,6.5,4.0,WIFI
56:C4:F0:F1:2C:8D,SHORE_LINK_0008,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,11,2462,-86,-22.9526,-43.16645,6.5,4.0,WIFI
F2:DA:B7:94:AF:52,BOTAFOGO_KIOSK_0012,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,6,2437,-75,-22.9526,-43.16645,6.5,4.0,WIFI
32:57:A3:F7:81:A3,SHORE_TERRACE_0033,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,11,2462,-70,-22.9526,-43.16645,6.5,4.0,WIFI
9E:E2:71:88:EC:0A,BOTAFOGO_LOUNGE_0007,[OPEN],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,10,2457,-76,-22.9526,-43.16645,6.5,4.0,WIFI
86:5E:F3:66:28:24,BAY_STUDIO_0035,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,2,2417,-89,-22.9526,-43.16645,6.5,4.0,WIFI
3A:06:FF:90:40:36,BAY_STUDIO_0005,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,6,2437,-74,-22.9526,-43.16645,6.5,4.0,WIFI
3A:15:7C:6D:C2:15,URCA_HUB_0026,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-78,-22.9526,-43.16645,6.5,4.0,WIFI
72:E3:D8:09:DB:96,ENSEADA_VIEW_0019,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-81,-22.9526,-43.16645,6.5,4.0,WIFI
DA:29:A4:E9:28:8E,BOTAFOGO_KIOSK_0022,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,6,2437,-88,-22.9526,-43.16645,6.5,4.0,WIFI
06:51:28:2D:E3:93,SHORE_TERRACE_0003,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,7,2442,-72,-22.9526,-43.16645,6.5,4.0,WIFI
4E:9E:73:BB:6D:94,BAY_MESH_0020,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,9,2452,-70,-22.9526,-43.16645,6.5,4.0,WIFI
5A:87:99:02:15:81,BAY_STUDIO_0015,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,5,2432,-74,-22.9526,-43.16645,6.5,4.0,WIFI
6A:D0:07:08:92:B3,SHORE_LINK_0018,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,11,2462,-61,-22.9526,-43.16645,6.5,4.0,WIFI
FA:D9:57:06:95:1F,URCA_HUB_0036,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,4,2427,-93,-22.9526,-43.16645,6.5,4.0,WIFI
66:B4:4B:ED:81:8C,BOTAFOGO_LOUNGE_0027,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,1,2412,-96,-22.9526,-43.16645,6.5,4.0,WIFI
D2:FC:C8:34:D0:46,ENSEADA_VIEW_0009,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,6,2437,-62,-22.9526,-43.16645,6.5,4.0,WIFI
02:3C:94:A8:42:D1,URCA_GUEST_0031,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,10,2457,-86,-22.9526,-43.16645,6.5,4.0,WIFI
6E:19:46:8F:60:ED,SHORE_LINK_0028,[WPA2-PSK-CCMP][ESS],2026-04-11T04:44:55Z,2026-04-11T04:45:00Z,10,2457,-78,-22.9526,-43.16645,6.5,4.0,WIFI
