WigleWifi-1.4,appRelease=1.0,brand=Bruce
MAC,SSID,AuthMode,FirstSeen,LastSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
0E:AA:11:22:33:47,COPA_MEDIA_NODE,[WPA3-SAE-CCMP][ESS],2026-04-11T06:39:55Z,2026-04-11T06:40:00Z,157,5785,-54,-22.97165,-43.18295,6.5,4.4,WIFI
D6:F7:7E:DC:CE:86,CALCADAO_TERRACE_0013,[OPEN],2026-04-11T06:39:56Z,2026-04-11T06:40:00Z,11,2462,-95,-22.97165,-43.18295,6.5,4.0,WIFI
5A:33:B8:5F:15:D1,POSTO_STUDIO_0015,[WPA3-SAE-CCMP][ESS],2026-04-11T06:39:56Z,2026-04-11T06:40:00Z,6,2437,-95,-22.97165,-43.18295,6.5,4.0,WIFI
A2:C9:97:6C:75:1D,ORLA_PASS_0024,[WPA3-SAE-CCMP][ESS],2026-04-11T06:39:56Z,2026-04-11T06:40:00Z,5,2432,-69,-22.97165,-43.18295,6.5,4.0,WIFI
92:2C:EE:3E:CA:50,ARPOADOR_KIOSK_0022,[WPA3-SAE-CCMP][ESS],2026-04-11T06:39:56Z,2026-04-11T06:40:00Z,1,2412,-76,-22.97165,-43.18295,6.5,4.0,WIFI
82:BE:37:B5:1E:FA,ORLA_PASS_0004,[WPA2-PSK-CCMP][ESS],2026-04-11T06:39:56Z,2026-04-11T06:40:00Z,11,2462,-79,-22.97165,-43.18295,6.5,4.0,WIFI
BE:C9:1A:11:48:49,CALCADAO_TERRACE_0023,[WPA3-SAE-CCMP][ESS],2026-04-11T06:39:56Z,2026-04-11T06:40:00Z,7,2442,-75,-22.97165,-43.18295,6.5,4.0,WIFI
D2:B9:3C:A2:37:AC,ARPOADOR_KIOSK_0012,[WPA3-SAE-CCMP][ESS],2026-04-11T06:39:56Z,2026-04-11T06:40:00Z,8,2447,-86,-22.97165,-43.18295,6.5,4.0,WIFI
0E:3A:A8:2B:1F:A1,COPA_GUEST_0021,[WPA2-PSK-CCMP][ESS],2026-04-11T06:39:56Z,2026-04-11T06:40:00Z,1,2412,-84,-22.97165,-43.18295,6.5,4.0,WIFI
8E:44:AE:43:CE:F4,ORLA_VIEW_0009,[OPEN],2026-04-11T06:39:56Z,2026-04-11T06:40:00Z,8,2447,-66,-22.97165,-43.18295,6.5,4.0,WIFI
