WigleWifi-1.4,appRelease=1.0,brand=Bruce
MAC,SSID,AuthMode,FirstSeen,LastSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
16:B0:C9:FE:23:5D,AMANHA_TERRACE_0033,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,1,2412,-72,-22.9087,-43.1779,6.5,4.0,WIFI
E6:C5:22:0B:D0:E6,BOULEVARD_VIEW_0019,[WPA3-SAE-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,9,2452,-82,-22.9087,-43.1779,6.5,4.0,WIFI
9E:E4:A3:EC:F4:A2,PORTO_MESH_0030,[WPA3-SAE-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,11,2462,-86,-22.9087,-43.1779,6.5,4.0,WIFI
4A:64:7E:00:47:A0,AMANHA_TERRACE_0023,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,11,2462,-62,-22.9087,-43.1779,6.5,4.0,WIFI
62:4E:BE:87:1C:18,MUSEU_KIOSK_0002,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,6,2437,-98,-22.9087,-43.1779,6.5,4.0,WIFI
CE:E4:B8:A3:2D:BC,MUSEU_KIOSK_0012,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,3,2422,-80,-22.9087,-43.1779,6.5,4.0,WIFI
36:33:72:F6:AA:49,CENTRO_GUEST_0031,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,6,2437,-77,-22.9087,-43.1779,6.5,4.0,WIFI
2E:22:8B:0A:F0:40,PORTO_STUDIO_0015,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,9,2452,-95,-22.9087,-43.1779,6.5,4.0,WIFI
5A:44:98:74:7F:66,MUSEU_LOUNGE_0017,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,6,2437,-76,-22.9087,-43.1779,6.5,4.0,WIFI
72:75:68:57:93:F3,AMANHA_TERRACE_0003,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,11,2462,-62,-22.9087,-43.1779,6.5,4.0,WIFI
1A:12:56:1F:24:3A,AMANHA_LINK_0008,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,5,2432,-79,-22.9087,-43.1779,6.5,4.0,WIFI
82:E7:C7:5B:DA:47,AMANHA_TERRACE_0013,[OPEN],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,10,2457,-64,-22.9087,-43.1779,6.5,4.0,WIFI
EE:FA:FC:3A:DE:33,PORTO_MESH_0010,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,11,2462,-81,-22.9087,-43.1779,6.5,4.0,WIFI
6A:08:2A:94:D1:41,MUSEU_KIOSK_0032,[WPA3-SAE-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,1,2412,-74,-22.9087,-43.1779,6.5,4.0,WIFI
1E:D4:CC:A6:B3:8D,CENTRO_HUB_0006,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,11,2462,-80,-22.9087,-43.1779,6.5,4.0,WIFI
56:19:91:35:2D:A5,PORTO_MESH_0020,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,11,2462,-73,-22.9087,-43.1779,6.5,4.0,WIFI
3A:11:30:34:6C:55,CENTRO_GUEST_0021,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,11,2462,-93,-22.9087,-43.1779,6.5,4.0,WIFI
3A:2F:B9:CD:99:BF,AMANHA_LINK_0028,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,1,2412,-88,-22.9087,-43.1779,6.5,4.0,WIFI
36:8E:EE:6E:BE:1D,PORTO_STUDIO_0025,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,1,2412,-92,-22.9087,-43.1779,6.5,4.0,WIFI
8E:5F:0F:AA:84:B2,MUSEU_LOUNGE_0007,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,4,2427,-66,-22.9087,-43.1779,6.5,4.0,WIFI
CE:47:86:CE:0A:C7,AMANHA_LINK_0038,[WPA3-SAE-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,11,2462,-72,-22.9087,-43.1779,6.5,4.0,WIFI
4E:F3:77:61:BD:F5,MUSEU_LOUNGE_0037,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,8,2447,-88,-22.9087,-43.1779,6.5,4.0,WIFI
A2:52:70:5A:92:91,PORTO_STUDIO_0035,[WPA3-SAE-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,7,2442,-77,-22.9087,-43.1779,6.5,4.0,WIFI
E2:09:DD:1F:5F:73,BOULEVARD_VIEW_0009,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,6,2437,-57,-22.9087,-43.1779,6.5,4.0,WIFI
D6:E6:3A:E9:49:AA,CENTRO_GUEST_0001,[WPA3-SAE-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,1,2412,-71,-22.9087,-43.1779,6.5,4.0,WIFI
AA:36:F0:F2:94:7E,CENTRO_HUB_0016,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,5,2432,-94,-22.9087,-43.1779,6.5,4.0,WIFI
E6:17:D4:9F:AE:BC,BOULEVARD_PASS_0014,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,5,2432,-67,-22.9087,-43.1779,6.5,4.0,WIFI
9E:1C:15:C9:77:64,AMANHA_LINK_0018,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,6,2437,-82,-22.9087,-43.1779,6.5,4.0,WIFI
D6:6D:B7:CF:D5:CC,PORTO_STUDIO_0005,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,1,2412,-87,-22.9087,-43.1779,6.5,4.0,WIFI
9A:60:D1:12:4C:DB,CENTRO_HUB_0026,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,6,2437,-74,-22.9087,-43.1779,6.5,4.0,WIFI
9A:A1:B6:2B:C7:71,BOULEVARD_PASS_0004,[WPA3-SAE-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,6,2437,-65,-22.9087,-43.1779,6.5,4.0,WIFI
46:ED:09:E6:C1:6E,MUSEU_LOUNGE_0027,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,6,2437,-82,-22.9087,-43.1779,6.5,4.0,WIFI
A6:2D:9D:56:69:06,BOULEVARD_PASS_0034,[WPA3-SAE-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,1,2412,-62,-22.9087,-43.1779,6.5,4.0,WIFI
DE:88:3C:5A:A8:9A,MUSEU_KIOSK_0022,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,1,2412,-61,-22.9087,-43.1779,6.5,4.0,WIFI
2A:57:2F:03:6D:49,BOULEVARD_PASS_0024,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,4,2427,-81,-22.9087,-43.1779,6.5,4.0,WIFI
36:61:5D:34:65:EE,CENTRO_HUB_0036,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,1,2412,-79,-22.9087,-43.1779,6.5,4.0,WIFI
F6:D2:ED:6B:7C:47,BOULEVARD_VIEW_0029,[WPA3-SAE-CCMP][ESS],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,1,2412,-75,-22.9087,-43.1779,6.5,4.0,WIFI
6A:C0:84:9D:EC:10,CENTRO_GUEST_0011,[OPEN],2026-04-11T07:14:54Z,2026-04-11T07:15:00Z,5,2432,-85,-22.9087,-43.1779,6.5,4.0,WIFI
9E:E4:A3:EC:F4:A2,PORTO_MESH_0030,[WPA3-SAE-CCMP][ESS],2026-04-11T07:14:55Z,2026-04-11T07:15:01Z,11,2462,-62,-22.90867,-43.177913,6.8,4.3,WIFI
4A:64:7E:00:47:A0,AMANHA_TERRACE_0023,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:55Z,2026-04-11T07:15:01Z,11,2462,-57,-22.90867,-43.177913,6.8,4.3,WIFI
62:4E:BE:87:1C:18,MUSEU_KIOSK_0002,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:55Z,2026-04-11T07:15:01Z,6,2437,-84,-22.90867,-43.177913,6.8,4.3,WIFI
16:B0:C9:FE:23:5D,AMANHA_TERRACE_0033,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:55Z,2026-04-11T07:15:01Z,1,2412,-49,-22.90867,-43.177913,6.8,4.3,WIFI
E6:C5:22:0B:D0:E6,BOULEVARD_VIEW_0019,[WPA3-SAE-CCMP][ESS],2026-04-11T07:14:55Z,2026-04-11T07:15:01Z,9,2452,-65,-22.90867,-43.177913,6.8,4.3,WIFI
CE:E4:B8:A3:2D:BC,MUSEU_KIOSK_0012,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:55Z,2026-04-11T07:15:01Z,3,2422,-79,-22.90867,-43.177913,6.8,4.3,WIFI
36:33:72:F6:AA:49,CENTRO_GUEST_0031,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:55Z,2026-04-11T07:15:01Z,6,2437,-72,-22.90867,-43.177913,6.8,4.3,WIFI
2E:22:8B:0A:F0:40,PORTO_STUDIO_0015,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:55Z,2026-04-11T07:15:01Z,9,2452,-84,-22.90867,-43.177913,6.8,4.3,WIFI
5A:44:98:74:7F:66,MUSEU_LOUNGE_0017,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:55Z,2026-04-11T07:15:01Z,6,2437,-73,-22.90867,-43.177913,6.8,4.3,WIFI
72:75:68:57:93:F3,AMANHA_TERRACE_0003,[WPA2-PSK-CCMP][ESS],2026-04-11T07:14:55Z,2026-04-11T07:15:01Z,11,2462,-59,-22.90867,-43.177913,6.8,4.3,WIFI
