WigleWifi-1.4,appRelease=1.0,device=Evil-Cardputer,model=cardputer
MAC,SSID,AuthMode,FirstSeen,LastSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
06:AA:11:22:33:45,BOTAFOGO_KIOSK_NET,[WPA2-PSK-CCMP][ESS],2026-04-11T01:09:54Z,2026-04-11T01:10:00Z,149,5745,-73,-22.946013,-43.182554,7.0,5.5,WIFI
7A:38:40:B9:CC:0A,BOTAFOGO_KIOSK_0052,[WPA2-PSK-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,6,2437,-86,-22.946013,-43.182554,7.0,4.0,WIFI
0A:B5:0B:69:22:87,URCA_LINK_0038,[WPA2-PSK-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,5,2432,-69,-22.946013,-43.182554,7.0,4.0,WIFI
16:7C:4A:3F:BB:D5,URCA_LINK_0008,[OPEN],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,4,2427,-76,-22.946013,-43.182554,7.0,4.0,WIFI
A2:FA:50:22:9D:D1,ATERRO_GUEST_0011,[WPA2-PSK-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,11,2462,-70,-22.946013,-43.182554,7.0,4.0,WIFI
5A:3D:0C:6E:7F:8F,ATERRO_GUEST_0031,[WPA2-PSK-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,5,2432,-74,-22.946013,-43.182554,7.0,4.0,WIFI
7E:24:1E:FD:51:F3,URCA_LINK_0018,[WPA3-SAE-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,2,2417,-79,-22.946013,-43.182554,7.0,4.0,WIFI
92:7B:7A:DD:3D:C4,PRAIA_VIEW_0049,[WPA3-SAE-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,3,2422,-63,-22.946013,-43.182554,7.0,4.0,WIFI
E2:D7:ED:0E:D2:83,ATERRO_GUEST_0051,[WPA2-PSK-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,11,2462,-70,-22.946013,-43.182554,7.0,4.0,WIFI
46:C3:2E:64:07:8F,URCA_LINK_0028,[WPA2-PSK-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,1,2412,-65,-22.946013,-43.182554,7.0,4.0,WIFI
26:28:F4:F3:DC:82,ENSEADA_STUDIO_0025,[OPEN],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,2,2417,-74,-22.946013,-43.182554,7.0,4.0,WIFI
36:F0:FE:3A:E9:CF,ATERRO_HUB_0036,[WPA2-PSK-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,6,2437,-84,-22.946013,-43.182554,7.0,4.0,WIFI
82:C3:64:08:8E:09,URCA_TERRACE_0033,[WPA3-SAE-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,3,2422,-72,-22.946013,-43.182554,7.0,4.0,WIFI
1E:88:21:FA:F9:58,URCA_TERRACE_0043,[WPA2-PSK-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,1,2412,-78,-22.946013,-43.182554,7.0,4.0,WIFI
9A:B9:F7:7C:DC:6F,PRAIA_PASS_0014,[WPA3-SAE-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,11,2462,-67,-22.946013,-43.182554,7.0,4.0,WIFI
A6:4F:F7:41:72:AB,ATERRO_GUEST_0001,[WPA2-PSK-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,11,2462,-74,-22.946013,-43.182554,7.0,4.0,WIFI
9E:D3:E7:E0:0F:9F,BOTAFOGO_LOUNGE_0047,[OPEN],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,4,2427,-96,-22.946013,-43.182554,7.0,4.0,WIFI
92:4C:C3:3C:17:AC,ATERRO_HUB_0046,[OPEN],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,11,2462,-83,-22.946013,-43.182554,7.0,4.0,WIFI
2E:1D:9C:02:E9:2E,PRAIA_PASS_0034,[OPEN],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,11,2462,-70,-22.946013,-43.182554,7.0,4.0,WIFI
FA:FB:79:8F:91:A2,URCA_TERRACE_0023,[WPA2-PSK-CCMP][ESS],2026-04-11T01:09:55Z,2026-04-11T01:10:00Z,8,2447,-89,-22.946013,-43.182554,7.0,4.0,WIFI
