timestamp,lat,lng,altitude_m,speed_kmh,accuracy_m
2026-04-11T00:15:00Z,-22.913263,-43.180056,7.0,17.0,4.0
2026-04-11T00:15:01Z,-22.913259,-43.18009,7.2,18.7,4.2
2026-04-11T00:15:02Z,-22.913256,-43.180125,7.4,20.4,4.4
2026-04-11T00:15:03Z,-22.913254,-43.180159,7.6,22.1,4.6
2026-04-11T00:15:04Z,-22.913251,-43.180194,7.8,23.8,4.8
2026-04-11T00:15:05Z,-22.913248,-43.180228,8.0,25.5,4.0
2026-04-11T00:15:06Z,-22.913245,-43.180263,8.2,27.2,4.2
2026-04-11T00:15:07Z,-22.913242,-43.180297,8.4,17.0,4.4
2026-04-11T00:15:08Z,-22.913247,-43.180332,8.6,18.7,4.6
2026-04-11T00:15:09Z,-22.913252,-43.180366,8.8,20.4,4.8
2026-04-11T00:15:10Z,-22.913258,-43.1804,9.0,22.1,4.0
2026-04-11T00:15:11Z,-22.913263,-43.180434,9.2,23.8,4.2
2026-04-11T00:15:12Z,-22.913268,-43.180468,9.4,25.5,4.4
2026-04-11T00:15:13Z,-22.913273,-43.180503,7.0,27.2,4.6
2026-04-11T00:15:14Z,-22.913278,-43.180537,7.2,17.0,4.8
2026-04-11T00:15:15Z,-22.913283,-43.180571,7.4,18.7,4.0
2026-04-11T00:15:16Z,-22.913288,-43.180605,7.6,20.4,4.2
2026-04-11T00:15:17Z,-22.913293,-43.180639,7.8,22.1,4.4
2026-04-11T00:15:18Z,-22.913297,-43.180674,8.0,23.8,4.6
2026-04-11T00:15:19Z,-22.913302,-43.180708,8.2,25.5,4.8
2026-04-11T00:15:20Z,-22.913306,-43.180742,8.4,27.2,4.0
2026-04-11T00:15:21Z,-22.913311,-43.180777,8.6,17.0,4.2
2026-04-11T00:15:22Z,-22.913315,-43.180811,8.8,18.7,4.4
2026-04-11T00:15:23Z,-22.913312,-43.180845,9.0,20.4,4.6
2026-04-11T00:15:24Z,-22.913308,-43.18088,9.2,22.1,4.8
2026-04-11T00:15:25Z,-22.913304,-43.180914,9.4,23.8,4.0
2026-04-11T00:15:26Z,-22.913298,-43.180948,7.0,25.5,4.2
2026-04-11T00:15:27Z,-22.913292,-43.180982,7.2,27.2,4.4
