timestamp,lat,lng,altitude_m,speed_kmh,accuracy_m
2026-04-11T03:00:00Z,-22.9249,-43.17045,6.5,4.3,4.0
2026-04-11T03:00:02Z,-22.924932,-43.170453,6.8,4.5,4.3
2026-04-11T03:00:05Z,-22.924964,-43.170456,7.0,4.8,4.6
2026-04-11T03:00:08Z,-22.924995,-43.170459,7.2,5.0,4.9
2026-04-11T03:00:10Z,-22.925027,-43.170462,7.5,5.2,4.0
2026-04-11T03:00:12Z,-22.925059,-43.170464,7.8,5.4,4.3
2026-04-11T03:00:15Z,-22.925091,-43.170467,8.0,5.6,4.6
2026-04-11T03:00:17Z,-22.925123,-43.17047,8.2,5.9,4.9
2026-04-11T03:00:19Z,-22.925154,-43.170473,8.5,6.1,4.0
2026-04-11T03:00:22Z,-22.925186,-43.170476,8.8,4.3,4.3
2026-04-11T03:00:25Z,-22.925218,-43.170479,9.0,4.5,4.6
2026-04-11T03:00:27Z,-22.92525,-43.170482,6.5,4.8,4.9
2026-04-11T03:00:30Z,-22.925282,-43.170485,6.8,5.0,4.0
2026-04-11T03:00:32Z,-22.925313,-43.170488,7.0,5.2,4.3
2026-04-11T03:00:35Z,-22.925345,-43.17049,7.2,5.4,4.6
2026-04-11T03:00:37Z,-22.925377,-43.170493,7.5,5.6,4.9
2026-04-11T03:00:39Z,-22.925409,-43.170496,7.8,5.9,4.0
2026-04-11T03:00:41Z,-22.925441,-43.170499,8.0,6.1,4.3
2026-04-11T03:00:44Z,-22.925472,-43.170504,8.2,4.3,4.6
2026-04-11T03:00:47Z,-22.925504,-43.17051,8.5,4.5,4.9
2026-04-11T03:00:50Z,-22.925535,-43.170516,8.8,4.8,4.0
2026-04-11T03:00:52Z,-22.925567,-43.170522,9.0,5.0,4.3
2026-04-11T03:00:55Z,-22.925598,-43.170527,6.5,5.2,4.6
2026-04-11T03:00:57Z,-22.92563,-43.170533,6.8,5.4,4.9
2026-04-11T03:00:59Z,-22.925661,-43.170539,7.0,5.6,4.0
2026-04-11T03:01:02Z,-22.925692,-43.170545,7.2,5.9,4.3
2026-04-11T03:01:04Z,-22.925724,-43.170551,7.5,6.1,4.6
2026-04-11T03:01:07Z,-22.925755,-43.170556,7.8,4.3,4.9
2026-04-11T03:01:10Z,-22.925787,-43.170562,8.0,4.5,4.0
2026-04-11T03:01:12Z,-22.925818,-43.170568,8.2,4.8,4.3
2026-04-11T03:01:15Z,-22.92585,-43.170574,8.5,5.0,4.6
2026-04-11T03:01:17Z,-22.925881,-43.17058,8.8,5.2,4.9
2026-04-11T03:01:20Z,-22.925913,-43.170585,9.0,5.4,4.0
2026-04-11T03:01:22Z,-22.925944,-43.170591,6.5,5.6,4.3
2026-04-11T03:01:24Z,-22.925976,-43.170597,6.8,5.9,4.6
2026-04-11T03:01:26Z,-22.926007,-43.170603,7.0,6.1,4.9
2026-04-11T03:01:29Z,-22.926039,-43.170609,7.2,4.3,4.0
2026-04-11T03:01:32Z,-22.92607,-43.170614,7.5,4.5,4.3
2026-04-11T03:01:35Z,-22.926101,-43.17062,7.8,4.8,4.6
2026-04-11T03:01:37Z,-22.926132,-43.17063,8.0,5.0,4.9
2026-04-11T03:01:40Z,-22.926163,-43.170639,8.2,5.2,4.0
2026-04-11T03:01:42Z,-22.926194,-43.170649,8.5,5.4,4.3
2026-04-11T03:01:44Z,-22.926224,-43.170658,8.8,5.6,4.6
2026-04-11T03:01:46Z,-22.926255,-43.170667,9.0,5.9,4.9
2026-04-11T03:01:48Z,-22.926286,-43.170677,6.5,6.1,4.0
2026-04-11T03:01:51Z,-22.926316,-43.170686,6.8,4.3,4.3
2026-04-11T03:01:54Z,-22.926347,-43.170696,7.0,4.5,4.6
2026-04-11T03:01:57Z,-22.926378,-43.170705,7.2,4.8,4.9
2026-04-11T03:02:00Z,-22.926409,-43.170714,7.5,5.0,4.0
2026-04-11T03:02:02Z,-22.926439,-43.170724,7.8,5.2,4.3
2026-04-11T03:02:04Z,-22.92647,-43.170733,8.0,5.4,4.6
2026-04-11T03:02:07Z,-22.926501,-43.170743,8.2,5.6,4.9
2026-04-11T03:02:09Z,-22.926531,-43.170752,8.5,5.9,4.0
2026-04-11T03:02:11Z,-22.926562,-43.170761,8.8,6.1,4.3
2026-04-11T03:02:14Z,-22.926593,-43.170771,9.0,4.3,4.6
2026-04-11T03:02:17Z,-22.926624,-43.17078,6.5,4.5,4.9
2026-04-11T03:02:19Z,-22.926654,-43.17079,6.8,4.8,4.0
2026-04-11T03:02:22Z,-22.926685,-43.170799,7.0,5.0,4.3
2026-04-11T03:02:24Z,-22.926716,-43.170808,7.2,5.2,4.6
2026-04-11T03:02:27Z,-22.926747,-43.170818,7.5,5.4,4.9
2026-04-11T03:02:29Z,-22.926777,-43.170827,7.8,5.6,4.0
2026-04-11T03:02:31Z,-22.926808,-43.170837,8.0,5.9,4.3
2026-04-11T03:02:33Z,-22.926839,-43.170846,8.2,6.1,4.6
2026-04-11T03:02:36Z,-22.926869,-43.170855,8.5,4.3,4.9
2026-04-11T03:02:39Z,-22.9269,-43.170865,8.8,4.5,4.0
2026-04-11T03:02:42Z,-22.926931,-43.170874,9.0,4.8,4.3
2026-04-11T03:02:44Z,-22.926961,-43.170885,6.5,5.0,4.6
2026-04-11T03:02:47Z,-22.926991,-43.170897,6.8,5.2,4.9
2026-04-11T03:02:49Z,-22.927021,-43.170909,7.0,5.4,4.0
2026-04-11T03:02:51Z,-22.927051,-43.170921,7.2,5.6,4.3
2026-04-11T03:02:54Z,-22.927081,-43.170934,7.5,5.9,4.6
2026-04-11T03:02:56Z,-22.92711,-43.170946,7.8,6.1,4.9
2026-04-11T03:02:59Z,-22.92714,-43.170958,8.0,4.3,4.0
2026-04-11T03:03:01Z,-22.92717,-43.170971,8.2,4.5,4.3
2026-04-11T03:03:04Z,-22.9272,-43.170983,8.5,4.8,4.6
2026-04-11T03:03:07Z,-22.92723,-43.170995,8.8,5.0,4.9
2026-04-11T03:03:09Z,-22.92726,-43.171007,9.0,5.2,4.0
2026-04-11T03:03:12Z,-22.92729,-43.17102,6.5,5.4,4.3
2026-04-11T03:03:14Z,-22.927319,-43.171032,6.8,5.6,4.6
2026-04-11T03:03:16Z,-22.927349,-43.171044,7.0,5.9,4.9
2026-04-11T03:03:18Z,-22.927379,-43.171056,7.2,6.1,4.0
2026-04-11T03:03:21Z,-22.927409,-43.171069,7.5,4.3,4.3
2026-04-11T03:03:24Z,-22.927439,-43.171081,7.8,4.5,4.6
2026-04-11T03:03:27Z,-22.927469,-43.171093,8.0,4.8,4.9
2026-04-11T03:03:29Z,-22.927498,-43.171105,8.2,5.0,4.0
2026-04-11T03:03:32Z,-22.927528,-43.171118,8.5,5.2,4.3
2026-04-11T03:03:34Z,-22.927558,-43.17113,8.8,5.4,4.6
