timestamp,lat,lng,altitude_m,speed_kmh,accuracy_m
2026-04-11T07:15:00Z,-22.9087,-43.1779,6.5,24.0,4.0
2026-04-11T07:15:01Z,-22.90867,-43.177913,6.8,25.2,4.3
2026-04-11T07:15:02Z,-22.908641,-43.177926,7.0,26.5,4.6
2026-04-11T07:15:03Z,-22.908611,-43.177939,7.2,27.8,4.9
2026-04-11T07:15:04Z,-22.908582,-43.177953,7.5,29.0,4.0
2026-04-11T07:15:05Z,-22.908552,-43.177966,7.8,30.2,4.3
2026-04-11T07:15:06Z,-22.908523,-43.177979,8.0,31.5,4.6
2026-04-11T07:15:07Z,-22.908493,-43.177992,8.2,32.8,4.9
2026-04-11T07:15:08Z,-22.908464,-43.178005,8.5,34.0,4.0
2026-04-11T07:15:09Z,-22.908434,-43.178018,8.8,24.0,4.3
2026-04-11T07:15:10Z,-22.908404,-43.178031,9.0,25.2,4.6
2026-04-11T07:15:11Z,-22.908375,-43.178044,6.5,26.5,4.9
2026-04-11T07:15:12Z,-22.908345,-43.178058,6.8,27.8,4.0
2026-04-11T07:15:13Z,-22.908316,-43.178071,7.0,29.0,4.3
2026-04-11T07:15:14Z,-22.908286,-43.178084,7.2,30.2,4.6
2026-04-11T07:15:15Z,-22.908257,-43.178097,7.5,31.5,4.9
2026-04-11T07:15:16Z,-22.908227,-43.17811,7.8,32.8,4.0
2026-04-11T07:15:17Z,-22.908198,-43.178123,8.0,34.0,4.3
2026-04-11T07:15:18Z,-22.908168,-43.178136,8.2,24.0,4.6
2026-04-11T07:15:19Z,-22.908139,-43.17815,8.5,25.2,4.9
2026-04-11T07:15:20Z,-22.908109,-43.178163,8.8,26.5,4.0
2026-04-11T07:15:21Z,-22.908079,-43.178176,9.0,27.8,4.3
2026-04-11T07:15:22Z,-22.90805,-43.178189,6.5,29.0,4.6
2026-04-11T07:15:23Z,-22.90802,-43.178202,6.8,30.2,4.9
2026-04-11T07:15:24Z,-22.907991,-43.178215,7.0,31.5,4.0
2026-04-11T07:15:25Z,-22.907961,-43.178228,7.2,32.8,4.3
2026-04-11T07:15:26Z,-22.907932,-43.178241,7.5,34.0,4.6
2026-04-11T07:15:27Z,-22.907902,-43.178255,7.8,24.0,4.9
2026-04-11T07:15:28Z,-22.907873,-43.178268,8.0,25.2,4.0
2026-04-11T07:15:29Z,-22.907843,-43.178281,8.2,26.5,4.3
2026-04-11T07:15:30Z,-22.907813,-43.178294,8.5,27.8,4.6
2026-04-11T07:15:31Z,-22.907783,-43.178302,8.8,29.0,4.9
2026-04-11T07:15:32Z,-22.907751,-43.178304,9.0,30.2,4.0
2026-04-11T07:15:33Z,-22.907719,-43.178307,6.5,31.5,4.3
2026-04-11T07:15:34Z,-22.907687,-43.17831,6.8,32.8,4.6
2026-04-11T07:15:35Z,-22.907655,-43.178313,7.0,34.0,4.9
2026-04-11T07:15:36Z,-22.907624,-43.178316,7.2,24.0,4.0
2026-04-11T07:15:37Z,-22.907592,-43.178319,7.5,25.2,4.3
2026-04-11T07:15:38Z,-22.90756,-43.178322,7.8,26.5,4.6
2026-04-11T07:15:39Z,-22.907528,-43.178325,8.0,27.8,4.9
2026-04-11T07:15:40Z,-22.907496,-43.178328,8.2,29.0,4.0
2026-04-11T07:15:41Z,-22.907464,-43.178331,8.5,30.2,4.3
2026-04-11T07:15:42Z,-22.907433,-43.178333,8.8,31.5,4.6
2026-04-11T07:15:43Z,-22.907401,-43.178336,9.0,32.8,4.9
2026-04-11T07:15:44Z,-22.907369,-43.178339,6.5,34.0,4.0
2026-04-11T07:15:45Z,-22.907337,-43.178342,6.8,24.0,4.3
2026-04-11T07:15:46Z,-22.907305,-43.178345,7.0,25.2,4.6
2026-04-11T07:15:47Z,-22.907273,-43.178348,7.2,26.5,4.9
2026-04-11T07:15:48Z,-22.907242,-43.178351,7.5,27.8,4.0
2026-04-11T07:15:49Z,-22.90721,-43.178354,7.8,29.0,4.3
2026-04-11T07:15:50Z,-22.907178,-43.178357,8.0,30.2,4.6
2026-04-11T07:15:51Z,-22.907146,-43.178359,8.2,31.5,4.9
2026-04-11T07:15:52Z,-22.907114,-43.178362,8.5,32.8,4.0
2026-04-11T07:15:53Z,-22.907083,-43.178365,8.8,34.0,4.3
2026-04-11T07:15:54Z,-22.907051,-43.178368,9.0,24.0,4.6
2026-04-11T07:15:55Z,-22.907019,-43.178371,6.5,25.2,4.9
2026-04-11T07:15:56Z,-22.906987,-43.178374,6.8,26.5,4.0
2026-04-11T07:15:57Z,-22.906955,-43.178377,7.0,27.8,4.3
2026-04-11T07:15:58Z,-22.906923,-43.17838,7.2,29.0,4.6
2026-04-11T07:15:59Z,-22.906892,-43.178383,7.5,30.2,4.9
2026-04-11T07:16:00Z,-22.90686,-43.178385,7.8,31.5,4.0
2026-04-11T07:16:01Z,-22.906828,-43.178388,8.0,32.8,4.3
2026-04-11T07:16:02Z,-22.906796,-43.178391,8.2,34.0,4.6
2026-04-11T07:16:03Z,-22.906764,-43.178394,8.5,24.0,4.9
2026-04-11T07:16:04Z,-22.906733,-43.178397,8.8,25.2,4.0
2026-04-11T07:16:05Z,-22.906701,-43.1784,9.0,26.5,4.3
2026-04-11T07:16:06Z,-22.906669,-43.178393,6.5,27.8,4.6
2026-04-11T07:16:07Z,-22.906638,-43.178386,6.8,29.0,4.9
2026-04-11T07:16:08Z,-22.906607,-43.178379,7.0,30.2,4.0
2026-04-11T07:16:09Z,-22.906576,-43.178372,7.2,31.5,4.3
2026-04-11T07:16:10Z,-22.906544,-43.178365,7.5,32.8,4.6
2026-04-11T07:16:11Z,-22.906513,-43.178358,7.8,34.0,4.9
2026-04-11T07:16:12Z,-22.906482,-43.17835,8.0,24.0,4.0
2026-04-11T07:16:13Z,-22.906451,-43.178343,8.2,25.2,4.3
2026-04-11T07:16:14Z,-22.906419,-43.178336,8.5,26.5,4.6
2026-04-11T07:16:15Z,-22.906388,-43.178329,8.8,27.8,4.9
2026-04-11T07:16:16Z,-22.906357,-43.178322,9.0,29.0,4.0
2026-04-11T07:16:17Z,-22.906326,-43.178315,6.5,30.2,4.3
2026-04-11T07:16:18Z,-22.906294,-43.178308,6.8,31.5,4.6
2026-04-11T07:16:19Z,-22.906263,-43.178301,7.0,32.8,4.9
2026-04-11T07:16:20Z,-22.906232,-43.178294,7.2,34.0,4.0
2026-04-11T07:16:21Z,-22.906201,-43.178287,7.5,24.0,4.3
2026-04-11T07:16:22Z,-22.906169,-43.178279,7.8,25.2,4.6
2026-04-11T07:16:23Z,-22.906138,-43.178272,8.0,26.5,4.9
2026-04-11T07:16:24Z,-22.906107,-43.178265,8.2,27.8,4.0
2026-04-11T07:16:25Z,-22.906076,-43.178258,8.5,29.0,4.3
2026-04-11T07:16:26Z,-22.906044,-43.178251,8.8,30.2,4.6
2026-04-11T07:16:27Z,-22.906013,-43.178244,9.0,31.5,4.9
