timestamp,lat,lng,altitude_m,speed_kmh,accuracy_m
2026-04-11T06:40:00Z,-22.97165,-43.18295,6.5,4.2,4.0
2026-04-11T06:40:02Z,-22.971678,-43.182967,6.8,4.4,4.3
2026-04-11T06:40:05Z,-22.971706,-43.182984,7.0,4.7,4.6
2026-04-11T06:40:08Z,-22.971734,-43.183001,7.2,4.9,4.9
2026-04-11T06:40:10Z,-22.971761,-43.183018,7.5,5.1,4.0
2026-04-11T06:40:13Z,-22.971789,-43.183035,7.8,5.3,4.3
2026-04-11T06:40:15Z,-22.971817,-43.183052,8.0,5.5,4.6
2026-04-11T06:40:17Z,-22.971845,-43.183069,8.2,5.8,4.9
2026-04-11T06:40:19Z,-22.971873,-43.183086,8.5,6.0,4.0
2026-04-11T06:40:22Z,-22.971901,-43.183103,8.8,4.2,4.3
2026-04-11T06:40:25Z,-22.971928,-43.183119,9.0,4.4,4.6
2026-04-11T06:40:28Z,-22.971956,-43.183136,6.5,4.7,4.9
2026-04-11T06:40:31Z,-22.971984,-43.183153,6.8,4.9,4.0
2026-04-11T06:40:33Z,-22.972012,-43.18317,7.0,5.1,4.3
2026-04-11T06:40:36Z,-22.97204,-43.183187,7.2,5.3,4.6
2026-04-11T06:40:38Z,-22.972068,-43.183204,7.5,5.5,4.9
2026-04-11T06:40:40Z,-22.972096,-43.183221,7.8,5.8,4.0
2026-04-11T06:40:42Z,-22.972123,-43.183238,8.0,6.0,4.3
2026-04-11T06:40:45Z,-22.972151,-43.183255,8.2,4.2,4.6
2026-04-11T06:40:48Z,-22.972179,-43.183272,8.5,4.4,4.9
2026-04-11T06:40:51Z,-22.972207,-43.183289,8.8,4.7,4.0
2026-04-11T06:40:53Z,-22.972235,-43.183306,9.0,4.9,4.3
2026-04-11T06:40:56Z,-22.972263,-43.183323,6.5,5.1,4.6
2026-04-11T06:40:58Z,-22.97229,-43.18334,6.8,5.3,4.9
2026-04-11T06:41:01Z,-22.972318,-43.183357,7.0,5.5,4.0
2026-04-11T06:41:03Z,-22.972346,-43.183374,7.2,5.8,4.3
2026-04-11T06:41:05Z,-22.972374,-43.183391,7.5,6.0,4.6
2026-04-11T06:41:08Z,-22.972402,-43.183408,7.8,4.2,4.9
2026-04-11T06:41:11Z,-22.97243,-43.183425,8.0,4.4,4.0
2026-04-11T06:41:14Z,-22.972458,-43.183442,8.2,4.7,4.3
2026-04-11T06:41:16Z,-22.972485,-43.183458,8.5,4.9,4.6
2026-04-11T06:41:19Z,-22.972513,-43.183475,8.8,5.1,4.9
2026-04-11T06:41:21Z,-22.972541,-43.183492,9.0,5.3,4.0
