timestamp,lat,lng,altitude_m,speed_kmh,accuracy_m
2026-04-11T06:05:00Z,-22.89385,-43.2919,6.5,27.0,4.0
2026-04-11T06:05:01Z,-22.893854,-43.291866,6.8,28.6,4.3
2026-04-11T06:05:02Z,-22.893859,-43.291831,7.0,30.2,4.6
2026-04-11T06:05:03Z,-22.893863,-43.291797,7.2,31.9,4.9
2026-04-11T06:05:04Z,-22.893867,-43.291763,7.5,33.5,4.0
2026-04-11T06:05:05Z,-22.893871,-43.291729,7.8,35.1,4.3
2026-04-11T06:05:06Z,-22.893876,-43.291694,8.0,36.8,4.6
2026-04-11T06:05:07Z,-22.89388,-43.29166,8.2,38.4,4.9
2026-04-11T06:05:08Z,-22.893884,-43.291626,8.5,40.0,4.0
2026-04-11T06:05:09Z,-22.893889,-43.291591,8.8,27.0,4.3
2026-04-11T06:05:10Z,-22.893893,-43.291557,9.0,28.6,4.6
2026-04-11T06:05:11Z,-22.893897,-43.291523,6.5,30.2,4.9
2026-04-11T06:05:12Z,-22.893901,-43.291489,6.8,31.9,4.0
2026-04-11T06:05:13Z,-22.893906,-43.291454,7.0,33.5,4.3
2026-04-11T06:05:14Z,-22.89391,-43.29142,7.2,35.1,4.6
2026-04-11T06:05:15Z,-22.893914,-43.291386,7.5,36.8,4.9
2026-04-11T06:05:16Z,-22.893919,-43.291351,7.8,38.4,4.0
2026-04-11T06:05:17Z,-22.893923,-43.291317,8.0,40.0,4.3
2026-04-11T06:05:18Z,-22.893927,-43.291283,8.2,27.0,4.6
2026-04-11T06:05:19Z,-22.893931,-43.291249,8.5,28.6,4.9
2026-04-11T06:05:20Z,-22.893936,-43.291214,8.8,30.2,4.0
2026-04-11T06:05:21Z,-22.89394,-43.29118,9.0,31.9,4.3
2026-04-11T06:05:22Z,-22.893944,-43.291146,6.5,33.5,4.6
2026-04-11T06:05:23Z,-22.893949,-43.291111,6.8,35.1,4.9
2026-04-11T06:05:24Z,-22.893953,-43.291077,7.0,36.8,4.0
2026-04-11T06:05:25Z,-22.893957,-43.291043,7.2,38.4,4.3
2026-04-11T06:05:26Z,-22.893961,-43.291009,7.5,40.0,4.6
2026-04-11T06:05:27Z,-22.893966,-43.290974,7.8,27.0,4.9
2026-04-11T06:05:28Z,-22.89397,-43.29094,8.0,28.6,4.0
2026-04-11T06:05:29Z,-22.893974,-43.290906,8.2,30.2,4.3
2026-04-11T06:05:30Z,-22.893979,-43.290871,8.5,31.9,4.6
2026-04-11T06:05:31Z,-22.893983,-43.290837,8.8,33.5,4.9
2026-04-11T06:05:32Z,-22.893987,-43.290803,9.0,35.1,4.0
2026-04-11T06:05:33Z,-22.893991,-43.290768,6.5,36.8,4.3
2026-04-11T06:05:34Z,-22.893996,-43.290734,6.8,38.4,4.6
2026-04-11T06:05:35Z,-22.894,-43.2907,7.0,40.0,4.9
2026-04-11T06:05:36Z,-22.894004,-43.290666,7.2,27.0,4.0
2026-04-11T06:05:37Z,-22.894009,-43.290631,7.5,28.6,4.3
2026-04-11T06:05:38Z,-22.894013,-43.290597,7.8,30.2,4.6
2026-04-11T06:05:39Z,-22.894017,-43.290563,8.0,31.9,4.9
2026-04-11T06:05:40Z,-22.894021,-43.290528,8.2,33.5,4.0
2026-04-11T06:05:41Z,-22.894026,-43.290494,8.5,35.1,4.3
2026-04-11T06:05:42Z,-22.89403,-43.29046,8.8,36.8,4.6
2026-04-11T06:05:43Z,-22.894034,-43.290426,9.0,38.4,4.9
2026-04-11T06:05:44Z,-22.894039,-43.290391,6.5,40.0,4.0
2026-04-11T06:05:45Z,-22.894043,-43.290357,6.8,27.0,4.3
2026-04-11T06:05:46Z,-22.894047,-43.290323,7.0,28.6,4.6
2026-04-11T06:05:47Z,-22.894051,-43.290288,7.2,30.2,4.9
2026-04-11T06:05:48Z,-22.894056,-43.290254,7.5,31.9,4.0
2026-04-11T06:05:49Z,-22.89406,-43.29022,7.8,33.5,4.3
