timestamp,lat,lng,altitude_m,speed_kmh,accuracy_m
2026-04-11T01:10:00Z,-22.946013,-43.182554,7.0,17.0,4.0
2026-04-11T01:10:01Z,-22.946045,-43.182555,7.2,18.7,4.2
2026-04-11T01:10:02Z,-22.946077,-43.182557,7.4,20.4,4.4
2026-04-11T01:10:03Z,-22.946109,-43.182558,7.6,22.1,4.6
2026-04-11T01:10:04Z,-22.94614,-43.182559,7.8,23.8,4.8
2026-04-11T01:10:05Z,-22.946172,-43.182561,8.0,25.5,4.0
2026-04-11T01:10:06Z,-22.946204,-43.182562,8.2,27.2,4.2
2026-04-11T01:10:07Z,-22.946236,-43.182564,8.4,17.0,4.4
2026-04-11T01:10:08Z,-22.946268,-43.182565,8.6,18.7,4.6
2026-04-11T01:10:09Z,-22.9463,-43.182566,8.8,20.4,4.8
2026-04-11T01:10:10Z,-22.946332,-43.182567,9.0,22.1,4.0
2026-04-11T01:10:11Z,-22.946364,-43.182568,9.2,23.8,4.2
2026-04-11T01:10:12Z,-22.946395,-43.18257,9.4,25.5,4.4
2026-04-11T01:10:13Z,-22.946427,-43.182571,7.0,27.2,4.6
2026-04-11T01:10:14Z,-22.946459,-43.182572,7.2,17.0,4.8
2026-04-11T01:10:15Z,-22.946491,-43.182574,7.4,18.7,4.0
2026-04-11T01:10:16Z,-22.946523,-43.182575,7.6,20.4,4.2
2026-04-11T01:10:17Z,-22.946555,-43.182577,7.8,22.1,4.4
2026-04-11T01:10:18Z,-22.946587,-43.182578,8.0,23.8,4.6
2026-04-11T01:10:19Z,-22.946618,-43.18258,8.2,25.5,4.8
2026-04-11T01:10:20Z,-22.94665,-43.182581,8.4,27.2,4.0
2026-04-11T01:10:21Z,-22.946682,-43.182581,8.6,17.0,4.2
2026-04-11T01:10:22Z,-22.946714,-43.182581,8.8,18.7,4.4
2026-04-11T01:10:23Z,-22.946746,-43.18258,9.0,20.4,4.6
2026-04-11T01:10:24Z,-22.946778,-43.18258,9.2,22.1,4.8
2026-04-11T01:10:25Z,-22.94681,-43.18258,9.4,23.8,4.0
2026-04-11T01:10:26Z,-22.946842,-43.18258,7.0,25.5,4.2
2026-04-11T01:10:27Z,-22.946873,-43.182579,7.2,27.2,4.4
2026-04-11T01:10:28Z,-22.946905,-43.182579,7.4,17.0,4.6
2026-04-11T01:10:29Z,-22.946937,-43.182579,7.6,18.7,4.8
2026-04-11T01:10:30Z,-22.946969,-43.182576,7.8,20.4,4.0
2026-04-11T01:10:31Z,-22.947001,-43.182572,8.0,22.1,4.2
2026-04-11T01:10:32Z,-22.947032,-43.182569,8.2,23.8,4.4
2026-04-11T01:10:33Z,-22.947064,-43.182566,8.4,25.5,4.6
2026-04-11T01:10:34Z,-22.947096,-43.182563,8.6,27.2,4.8
2026-04-11T01:10:35Z,-22.947128,-43.182559,8.8,17.0,4.0
2026-04-11T01:10:36Z,-22.947159,-43.182556,9.0,18.7,4.2
2026-04-11T01:10:37Z,-22.947191,-43.182553,9.2,20.4,4.4
2026-04-11T01:10:38Z,-22.947223,-43.18255,9.4,22.1,4.6
2026-04-11T01:10:39Z,-22.947255,-43.182546,7.0,23.8,4.8
2026-04-11T01:10:40Z,-22.947286,-43.182543,7.2,25.5,4.0
2026-04-11T01:10:41Z,-22.947318,-43.18254,7.4,27.2,4.2
2026-04-11T01:10:42Z,-22.94735,-43.182537,7.6,17.0,4.4
2026-04-11T01:10:43Z,-22.947382,-43.182534,7.8,18.7,4.6
2026-04-11T01:10:44Z,-22.947413,-43.18253,8.0,20.4,4.8
2026-04-11T01:10:45Z,-22.947445,-43.182527,8.2,22.1,4.0
2026-04-11T01:10:46Z,-22.947477,-43.182524,8.4,23.8,4.2
2026-04-11T01:10:47Z,-22.947509,-43.182521,8.6,25.5,4.4
2026-04-11T01:10:48Z,-22.94754,-43.182517,8.8,27.2,4.6
2026-04-11T01:10:49Z,-22.947572,-43.182514,9.0,17.0,4.8
2026-04-11T01:10:50Z,-22.947604,-43.182509,9.2,18.7,4.0
2026-04-11T01:10:51Z,-22.947635,-43.182504,9.4,20.4,4.2
2026-04-11T01:10:52Z,-22.947667,-43.182499,7.0,22.1,4.4
2026-04-11T01:10:53Z,-22.947698,-43.182493,7.2,23.8,4.6
2026-04-11T01:10:54Z,-22.947729,-43.182485,7.4,25.5,4.8
2026-04-11T01:10:55Z,-22.94776,-43.182477,7.6,27.2,4.0
2026-04-11T01:10:56Z,-22.947791,-43.182469,7.8,17.0,4.2
2026-04-11T01:10:57Z,-22.947822,-43.182461,8.0,18.7,4.4
2026-04-11T01:10:58Z,-22.947853,-43.182453,8.2,20.4,4.6
2026-04-11T01:10:59Z,-22.947884,-43.182445,8.4,22.1,4.8
2026-04-11T01:11:00Z,-22.947915,-43.182437,8.6,23.8,4.0
2026-04-11T01:11:01Z,-22.947946,-43.182429,8.8,25.5,4.2
2026-04-11T01:11:02Z,-22.947977,-43.182422,9.0,27.2,4.4
2026-04-11T01:11:03Z,-22.948009,-43.182414,9.2,17.0,4.6
2026-04-11T01:11:04Z,-22.94804,-43.182407,9.4,18.7,4.8
2026-04-11T01:11:05Z,-22.948071,-43.1824,7.0,20.4,4.0
2026-04-11T01:11:06Z,-22.948102,-43.182393,7.2,22.1,4.2
2026-04-11T01:11:07Z,-22.948133,-43.182385,7.4,23.8,4.4
2026-04-11T01:11:08Z,-22.948165,-43.182378,7.6,25.5,4.6
2026-04-11T01:11:09Z,-22.948196,-43.182371,7.8,27.2,4.8
2026-04-11T01:11:10Z,-22.948227,-43.182364,8.0,17.0,4.0
2026-04-11T01:11:11Z,-22.948258,-43.182356,8.2,18.7,4.2
2026-04-11T01:11:12Z,-22.948289,-43.182349,8.4,20.4,4.4
2026-04-11T01:11:13Z,-22.948319,-43.182337,8.6,22.1,4.6
2026-04-11T01:11:14Z,-22.948348,-43.182322,8.8,23.8,4.8
2026-04-11T01:11:15Z,-22.948377,-43.182308,9.0,25.5,4.0
2026-04-11T01:11:16Z,-22.948406,-43.182294,9.2,27.2,4.2
2026-04-11T01:11:17Z,-22.948435,-43.18228,9.4,17.0,4.4
2026-04-11T01:11:18Z,-22.948465,-43.182266,7.0,18.7,4.6
2026-04-11T01:11:19Z,-22.948494,-43.182253,7.2,20.4,4.8
2026-04-11T01:11:20Z,-22.948523,-43.182239,7.4,22.1,4.0
2026-04-11T01:11:21Z,-22.948552,-43.182225,7.6,23.8,4.2
2026-04-11T01:11:22Z,-22.948582,-43.182214,7.8,25.5,4.4
2026-04-11T01:11:23Z,-22.948612,-43.182202,8.0,27.2,4.6
2026-04-11T01:11:24Z,-22.948642,-43.18219,8.2,17.0,4.8
2026-04-11T01:11:25Z,-22.948672,-43.182178,8.4,18.7,4.0
2026-04-11T01:11:26Z,-22.948702,-43.182167,8.6,20.4,4.2
2026-04-11T01:11:27Z,-22.948732,-43.182155,8.8,22.1,4.4
2026-04-11T01:11:28Z,-22.948762,-43.182143,9.0,23.8,4.6
2026-04-11T01:11:29Z,-22.948792,-43.182131,9.2,25.5,4.8
2026-04-11T01:11:30Z,-22.948822,-43.18212,9.4,27.2,4.0
2026-04-11T01:11:31Z,-22.948852,-43.182108,7.0,17.0,4.2
2026-04-11T01:11:32Z,-22.948882,-43.182096,7.2,18.7,4.4
2026-04-11T01:11:33Z,-22.948912,-43.182084,7.4,20.4,4.6
2026-04-11T01:11:34Z,-22.948942,-43.182073,7.6,22.1,4.8
2026-04-11T01:11:35Z,-22.948972,-43.182061,7.8,23.8,4.0
2026-04-11T01:11:36Z,-22.949002,-43.182049,8.0,25.5,4.2
2026-04-11T01:11:37Z,-22.949032,-43.182037,8.2,27.2,4.4
2026-04-11T01:11:38Z,-22.949062,-43.182026,8.4,17.0,4.6
2026-04-11T01:11:39Z,-22.949092,-43.182014,8.6,18.7,4.8
2026-04-11T01:11:40Z,-22.949122,-43.182002,8.8,20.4,4.0
2026-04-11T01:11:41Z,-22.949152,-43.181991,9.0,22.1,4.2
2026-04-11T01:11:42Z,-22.949182,-43.181979,9.2,23.8,4.4
2026-04-11T01:11:43Z,-22.949212,-43.181967,9.4,25.5,4.6
2026-04-11T01:11:44Z,-22.949242,-43.181955,7.0,27.2,4.8
2026-04-11T01:11:45Z,-22.949272,-43.181944,7.2,17.0,4.0
2026-04-11T01:11:46Z,-22.949302,-43.181932,7.4,18.7,4.2
2026-04-11T01:11:47Z,-22.949332,-43.18192,7.6,20.4,4.4
2026-04-11T01:11:48Z,-22.949362,-43.181908,7.8,22.1,4.6
2026-04-11T01:11:49Z,-22.949392,-43.181897,8.0,23.8,4.8
2026-04-11T01:11:50Z,-22.949422,-43.181885,8.2,25.5,4.0
2026-04-11T01:11:51Z,-22.949452,-43.181873,8.4,27.2,4.2
2026-04-11T01:11:52Z,-22.949482,-43.181861,8.6,17.0,4.4
2026-04-11T01:11:53Z,-22.949512,-43.18185,8.8,18.7,4.6
2026-04-11T01:11:54Z,-22.949543,-43.181839,9.0,20.4,4.8
2026-04-11T01:11:55Z,-22.949573,-43.181828,9.2,22.1,4.0
2026-04-11T01:11:56Z,-22.949603,-43.181817,9.4,23.8,4.2
2026-04-11T01:11:57Z,-22.949633,-43.181806,7.0,25.5,4.4
2026-04-11T01:11:58Z,-22.949664,-43.181795,7.2,27.2,4.6
2026-04-11T01:11:59Z,-22.949694,-43.181784,7.4,17.0,4.8
2026-04-11T01:12:00Z,-22.949724,-43.181773,7.6,18.7,4.0
2026-04-11T01:12:01Z,-22.949754,-43.181762,7.8,20.4,4.2
2026-04-11T01:12:02Z,-22.949785,-43.181751,8.0,22.1,4.4
2026-04-11T01:12:03Z,-22.949815,-43.18174,8.2,23.8,4.6
2026-04-11T01:12:04Z,-22.949845,-43.181729,8.4,25.5,4.8
2026-04-11T01:12:05Z,-22.949875,-43.181718,8.6,27.2,4.0
