timestamp,lat,lng,altitude_m,speed_kmh,accuracy_m
2026-04-11T03:35:00Z,-22.9659,-43.2142,6.5,13.0,4.0
2026-04-11T03:35:01Z,-22.965919,-43.214172,6.8,14.0,4.3
2026-04-11T03:35:02Z,-22.965938,-43.214145,7.0,15.0,4.6
2026-04-11T03:35:03Z,-22.965958,-43.214117,7.2,16.0,4.9
2026-04-11T03:35:04Z,-22.965977,-43.214089,7.5,17.0,4.0
2026-04-11T03:35:05Z,-22.965996,-43.214062,7.8,18.0,4.3
2026-04-11T03:35:06Z,-22.966015,-43.214034,8.0,19.0,4.6
2026-04-11T03:35:07Z,-22.966034,-43.214007,8.2,20.0,4.9
2026-04-11T03:35:08Z,-22.966054,-43.213979,8.5,21.0,4.0
2026-04-11T03:35:09Z,-22.966073,-43.213951,8.8,13.0,4.3
2026-04-11T03:35:10Z,-22.966092,-43.213924,9.0,14.0,4.6
2026-04-11T03:35:11Z,-22.966111,-43.213896,6.5,15.0,4.9
2026-04-11T03:35:12Z,-22.96613,-43.213868,6.8,16.0,4.0
2026-04-11T03:35:13Z,-22.96615,-43.213841,7.0,17.0,4.3
2026-04-11T03:35:14Z,-22.966169,-43.213813,7.2,18.0,4.6
2026-04-11T03:35:15Z,-22.966188,-43.213785,7.5,19.0,4.9
2026-04-11T03:35:16Z,-22.966207,-43.213758,7.8,20.0,4.0
2026-04-11T03:35:17Z,-22.966226,-43.21373,8.0,21.0,4.3
2026-04-11T03:35:18Z,-22.966245,-43.213703,8.2,13.0,4.6
2026-04-11T03:35:19Z,-22.966265,-43.213675,8.5,14.0,4.9
2026-04-11T03:35:20Z,-22.966284,-43.213647,8.8,15.0,4.0
2026-04-11T03:35:21Z,-22.966303,-43.21362,9.0,16.0,4.3
2026-04-11T03:35:22Z,-22.966322,-43.213592,6.5,17.0,4.6
2026-04-11T03:35:23Z,-22.966341,-43.213564,6.8,18.0,4.9
2026-04-11T03:35:24Z,-22.966361,-43.213537,7.0,19.0,4.0
2026-04-11T03:35:25Z,-22.96638,-43.213509,7.2,20.0,4.3
2026-04-11T03:35:26Z,-22.966399,-43.213481,7.5,21.0,4.6
2026-04-11T03:35:27Z,-22.966418,-43.213454,7.8,13.0,4.9
2026-04-11T03:35:28Z,-22.966437,-43.213426,8.0,14.0,4.0
2026-04-11T03:35:29Z,-22.966457,-43.213399,8.2,15.0,4.3
2026-04-11T03:35:30Z,-22.966476,-43.213371,8.5,16.0,4.6
2026-04-11T03:35:31Z,-22.966495,-43.213343,8.8,17.0,4.9
2026-04-11T03:35:32Z,-22.966514,-43.213316,9.0,18.0,4.0
2026-04-11T03:35:33Z,-22.966533,-43.213288,6.5,19.0,4.3
2026-04-11T03:35:34Z,-22.966553,-43.21326,6.8,20.0,4.6
2026-04-11T03:35:35Z,-22.966572,-43.213233,7.0,21.0,4.9
2026-04-11T03:35:36Z,-22.966591,-43.213205,7.2,13.0,4.0
2026-04-11T03:35:37Z,-22.96661,-43.213177,7.5,14.0,4.3
2026-04-11T03:35:38Z,-22.966629,-43.21315,7.8,15.0,4.6
2026-04-11T03:35:39Z,-22.966649,-43.213122,8.0,16.0,4.9
2026-04-11T03:35:40Z,-22.966665,-43.213092,8.2,17.0,4.0
2026-04-11T03:35:41Z,-22.966681,-43.213062,8.5,18.0,4.3
2026-04-11T03:35:42Z,-22.966697,-43.213032,8.8,19.0,4.6
2026-04-11T03:35:43Z,-22.966713,-43.213002,9.0,20.0,4.9
2026-04-11T03:35:44Z,-22.966729,-43.212973,6.5,21.0,4.0
2026-04-11T03:35:45Z,-22.966745,-43.212943,6.8,13.0,4.3
2026-04-11T03:35:46Z,-22.966761,-43.212913,7.0,14.0,4.6
2026-04-11T03:35:47Z,-22.966776,-43.212883,7.2,15.0,4.9
2026-04-11T03:35:48Z,-22.966792,-43.212853,7.5,16.0,4.0
2026-04-11T03:35:49Z,-22.966808,-43.212823,7.8,17.0,4.3
2026-04-11T03:35:50Z,-22.966824,-43.212793,8.0,18.0,4.6
2026-04-11T03:35:51Z,-22.96684,-43.212763,8.2,19.0,4.9
2026-04-11T03:35:52Z,-22.966856,-43.212733,8.5,20.0,4.0
2026-04-11T03:35:53Z,-22.966872,-43.212703,8.8,21.0,4.3
2026-04-11T03:35:54Z,-22.966888,-43.212673,9.0,13.0,4.6
2026-04-11T03:35:55Z,-22.966904,-43.212643,6.5,14.0,4.9
2026-04-11T03:35:56Z,-22.96692,-43.212613,6.8,15.0,4.0
2026-04-11T03:35:57Z,-22.966936,-43.212583,7.0,16.0,4.3
2026-04-11T03:35:58Z,-22.966952,-43.212553,7.2,17.0,4.6
2026-04-11T03:35:59Z,-22.966968,-43.212523,7.5,18.0,4.9
2026-04-11T03:36:00Z,-22.966984,-43.212493,7.8,19.0,4.0
2026-04-11T03:36:01Z,-22.967,-43.212463,8.0,20.0,4.3
2026-04-11T03:36:02Z,-22.967016,-43.212433,8.2,21.0,4.6
2026-04-11T03:36:03Z,-22.967032,-43.212403,8.5,13.0,4.9
2026-04-11T03:36:04Z,-22.967048,-43.212373,8.8,14.0,4.0
2026-04-11T03:36:05Z,-22.967064,-43.212343,9.0,15.0,4.3
2026-04-11T03:36:06Z,-22.96708,-43.212313,6.5,16.0,4.6
2026-04-11T03:36:07Z,-22.967096,-43.212283,6.8,17.0,4.9
2026-04-11T03:36:08Z,-22.967112,-43.212253,7.0,18.0,4.0
2026-04-11T03:36:09Z,-22.967128,-43.212223,7.2,19.0,4.3
2026-04-11T03:36:10Z,-22.967144,-43.212194,7.5,20.0,4.6
